sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299	300	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	322	323	324	325	326	327	328	329	330	331	332	333	334	335	336	337	338	339	340	341	342	343	344	345	346	347	348	349	350	351	352	353	354	355	356	357	358	359	360	361	362	363	364	365	366	367	368	369	370	371	372	373	374	375	376	377	378	379	380	381	382	383	384	385	386	387	388	389	390	391	392	393	394	395	396	397	398	399	400	401	402	403	404	405	406	407	408	409	410	411	412	413	414	415	416	417	418	419	420	421	422	423	424	425	426	427	428	429	430	431	432	433	434	435	436	437	438	439	440	441	442	443	444	445	446	447	448	449	450	451	452	453	454	455	456	457	458	459	460	461	462	463	464	465	466	467	468	469	470	471	472	473	474	475	476	477	478	479	480	481	482	483	484	485	486	487	488	489	490	491	492	493	494	495	496	497	498	499	500	501	502	503	504	505	506	507	508	509	510	511	512
EXB034.A5102	1238718	413	47	2	2	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	2	0	1	0	0	0	16152	17166	17220	17380	16611	16046	15870	15096	15198	14748	13783	13782	13742	12867	11866	11799	11565	11664	10719	10494	10581	9977	9612	9548	9160	8756	8677	8828	7874	8134	8343	7496	7224	7286	6972	6687	6760	6377	6434	5799	5839	5980	5778	5411	4966	5516	5201	4894	4520	4757	4757	4643	4478	4081	4198	4015	3903	4066	3660	3863	3742	3649	3599	3609	3390	3360	3224	3207	3254	3048	2913	2741	2826	3013	2778	2770	2708	2680	2417	2392	3128	2333	2220	2240	2330	2299	2138	1955	1851	1851	1850	1943	1803	1905	1868	1777	1659	1818	1421	1495	1516	1501	1341	1474	1499	1524	1400	1463	1500	1294	1283	1322	1149	1132	1179	1181	1122	1102	1029	1086	1385	1104	991	985	1047	836	870	955	778	855	938	794	761	945	856	717	737	770	666	787	677	775	731	748	675	654	659	582	656	539	522	528	532	483	552	574	565	518	445	506	497	454	434	436	534	462	356	423	447	332	377	434	334	420	415	370	359	343	359	372	361	290	360	345	252	351	367	312	365	292	331	256	242	283	299	326	219	320	211	244	272	239	248	278	224	233	250	248	202	212	209	183	200	196	194	199	152	157	194	229	174	204	136	130	138	180	187	168	117	183	146	163	140	131	162	148	133	154	137	117	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	770289
EXB034.A5201	2692908	407	175	8	1	1	3	0	1	1	0	0	0	4	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	30173	30614	30585	29292	28830	29199	27602	27323	26885	25713	25246	25073	23579	22830	22662	21410	21221	20927	19671	19035	18786	19163	17462	17464	17022	16376	16288	16106	15903	15728	15470	14370	14746	13562	12850	13073	13810	13228	12186	12149	12432	12102	11640	11674	11447	11621	11161	10821	10706	10693	10883	10856	9690	10234	9452	9786	9340	9821	9238	9892	9367	9058	9056	8552	9216	8686	8850	8612	8460	8670	8801	8663	8359	7872	8464	8083	8243	8775	8134	7588	9990	7964	7488	7462	7285	7564	7726	7581	7404	7338	7248	6816	7087	6580	7251	7453	7362	7066	7034	7373	7048	6762	6506	6777	6570	6186	6293	6121	5966	6289	5835	6023	6461	6096	5817	5471	5590	5993	5522	5301	5736	5681	5279	5129	5211	4933	5133	5118	4971	4996	4308	4484	4678	4693	4625	4435	4268	3986	4551	4152	4140	3888	4148	3990	4192	3602	3874	3974	3345	3573	3327	3468	3399	3445	3281	3436	3368	2975	3190	3078	3000	2797	3171	3243	2798	2730	2876	2759	2634	2424	2660	2467	2617	2520	2755	2430	2406	2522	2239	2237	2565	2540	2160	2203	2210	1874	2204	2195	2013	2048	1903	2147	1910	2011	2013	1811	1766	2077	1910	1841	1807	1692	1888	1953	1844	1832	1830	1659	1732	1623	1666	1633	1617	1509	1603	1666	1493	1354	1417	1515	1537	1521	1443	1464	1264	1355	1440	1207	1440	1504	1286	1312	1529	1412	1418	1328	1235	1227	1380	1211	1345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2134612
EXB034.A5301	2780371	671	107	7	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	1	2	0	0	55350	57642	58854	59808	58959	58778	58357	58515	54940	55610	53676	53140	51831	49957	48751	49581	47817	45855	44965	43918	41814	40710	39731	39233	38641	35881	34815	34558	35153	32324	32215	31370	30536	29484	28153	27173	27296	26874	25293	25511	24828	23652	23711	22228	22811	22290	21698	19830	19646	18924	19464	17488	17271	16825	17342	16424	16695	15742	15421	14668	14664	14230	13647	13424	13340	12893	11399	12394	11660	11748	11536	10770	11799	11148	10527	10495	9637	9713	10005	9976	12267	8510	7861	7971	7981	8547	8085	7802	7714	7583	6839	7051	7321	6751	6988	6544	6701	6443	6392	5743	5867	5837	5413	5427	5509	5304	5554	5386	5048	4901	4853	5432	4825	4353	4912	4217	4274	4007	4028	4209	4700	3842	4059	4090	3404	3889	3398	3424	3534	3577	3624	3448	3186	2907	2745	2994	3229	2551	2730	2644	2688	2773	2403	2472	2664	2586	2410	2345	2388	2301	1952	2583	2387	2118	1900	2206	1979	2109	1932	1766	1752	1831	1947	1564	1594	1687	1932	1525	1569	1708	1614	1725	1611	1443	1311	1350	1476	1435	1351	1096	1191	1368	1287	1324	1159	1263	1111	1151	1082	1220	1055	973	1097	966	1046	1051	1294	715	1004	901	1079	746	754	957	921	726	917	784	899	701	844	673	789	656	683	667	756	617	817	663	581	680	639	471	485	743	601	484	611	538	514	658	457	687	427	651	386	556	505	491	515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1978756
EXB034.A5401	1858102	680	64	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	33205	35094	34436	34437	33461	33092	33455	32507	30336	31811	29489	29741	28496	28441	26695	26775	26672	25193	24359	23132	22660	23255	22146	21675	20539	20938	19734	18932	18314	19106	18741	17562	17722	16971	15976	15468	15268	15403	13955	14375	14352	14471	13366	12389	12409	12170	11841	12064	12525	11073	11255	10584	10440	10126	10263	10224	9635	9323	8770	9231	9496	8575	8525	8522	8298	8247	8397	7667	7351	7837	7349	6993	6734	6955	6607	6975	6954	5893	6473	5838	7671	6141	6065	5583	5783	5607	5304	5586	4726	5700	5113	4854	5060	5152	4888	4073	4421	4048	4513	3988	3979	3837	3811	3781	3622	3664	3421	3871	3720	3655	3338	3364	2898	2982	3267	3330	3065	2930	3029	2909	3171	2963	2537	2692	2676	2639	2343	2536	2450	2334	2227	2065	2455	2080	2004	1948	1979	2108	2039	1995	1654	1947	1612	1797	1748	1812	1656	1657	1782	1680	1380	1504	1625	1445	1417	1505	1481	1434	1277	1368	1242	1221	1253	1055	1212	1027	1080	1206	1204	1079	1038	1125	1172	868	938	970	1005	1060	948	863	984	823	916	829	923	800	848	793	855	797	759	748	639	887	604	743	608	715	583	641	748	682	531	608	450	568	541	632	533	552	408	512	436	449	409	497	460	520	533	595	410	551	401	459	420	479	405	391	422	345	371	530	384	373	369	285	390	350	357	340	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1216284
EXB034.A5501	1968395	699	87	13	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49102	50260	49436	50036	51533	51163	49955	49068	48857	48516	48297	46136	46597	44821	44892	43003	41956	41471	41057	39875	39890	39388	38345	38206	36162	36389	34332	34313	33355	34119	31575	31084	30229	28678	30166	29694	27265	28310	26443	25566	26836	25048	24323	23782	23946	22592	22823	21289	21328	20813	20974	20096	20057	18971	19423	19337	18456	17895	17817	17145	17001	15350	16220	15474	15056	14640	14794	14342	13300	13536	13000	13424	13008	13185	12477	12048	11549	11407	11147	10333	12531	10885	9705	9797	9436	10413	9488	8645	8737	8743	8751	8094	8102	7985	7998	7698	7442	6926	7087	6824	7516	6634	6451	6384	6530	6051	5450	5555	5261	5388	5210	5101	4663	4599	5039	4826	4683	4333	4111	4212	4521	3946	4285	4007	4103	3804	3597	3662	3649	3259	3339	3043	3067	2810	2929	2983	2709	2662	2613	2695	2642	2480	2546	2825	2404	2198	2191	2568	2169	2309	2102	1922	1777	2015	1796	2009	1960	1816	1695	1622	1608	1544	1569	1432	1606	1290	1484	1331	1361	1174	1274	1199	1192	1228	1245	1195	1268	1184	1079	1119	1100	1232	1052	989	1074	820	939	939	902	872	824	931	830	774	723	700	801	686	739	612	653	606	628	664	602	569	619	553	663	630	563	589	538	400	509	477	536	555	498	523	479	346	482	384	496	394	331	378	393	468	461	397	389	372	349	305	450	333	410	351	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1354387
LIB027.A0164	2372469	686	133	6	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24427	24933	24371	23411	22889	22550	21397	20388	19441	19633	18770	17561	17116	16426	15723	15039	14698	13984	13451	12549	12087	12120	11522	11095	10827	10220	10061	9138	8805	9350	9286	8622	7875	8032	7555	7391	7279	6901	6690	6245	6042	5774	5991	5842	5890	5653	5529	4912	4914	4845	4825	4597	4441	4073	4445	4113	3967	3940	3630	3925	3537	3591	3247	3323	3208	3365	3000	3332	3228	3110	2715	2921	3039	2703	2805	2470	2607	2703	2904	2537	4422	2475	2544	2724	2281	2478	2231	2447	2322	2175	2318	2213	2027	2060	2130	2144	2125	1850	1955	2113	1989	1652	1745	1786	1756	1851	1638	1659	1518	1694	1807	1597	1706	1624	1508	1623	1436	1533	1231	1493	1850	1230	1228	1315	1177	1444	1112	1322	1262	1156	1089	1088	1101	1127	1182	966	1109	1108	995	973	892	1075	1029	923	861	835	767	928	990	942	805	783	848	882	865	808	883	828	722	841	679	625	688	741	766	576	816	653	717	685	693	606	691	637	657	683	508	505	501	544	586	669	468	641	489	528	546	545	457	515	578	421	490	308	535	467	469	487	422	551	416	435	414	391	353	454	414	390	456	502	326	374	423	477	413	437	354	396	465	420	364	328	313	447	368	429	302	394	407	358	361	425	431	241	263	425	409	321	340	358	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1558888
LIB027.A0165	1242644	165	28	1	1	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10732	10352	10429	10863	10286	9708	9807	9497	8890	8604	8585	7785	8172	7916	7726	7062	7315	6947	6662	6245	6339	6231	5842	5649	5590	5390	5043	5106	4925	4712	4847	4139	4147	4111	4085	3677	3624	3573	3349	3360	3366	3308	2987	2702	2868	2625	2485	2514	2427	2648	2233	2168	2071	2149	1970	1943	1926	1935	1846	1734	1714	1648	1710	1541	1570	1532	1399	1371	1317	1440	1275	1236	1207	1164	1123	1009	1221	1090	1062	917	2867	915	938	926	938	882	922	818	671	765	718	730	711	650	710	707	539	546	624	575	563	490	525	432	505	456	497	477	502	539	451	467	313	371	411	398	408	284	362	335	428	322	286	336	210	272	248	276	270	264	281	233	219	215	218	247	190	161	234	152	178	204	174	193	125	187	165	168	181	151	135	127	153	154	136	129	150	122	122	142	116	94	122	109	101	95	121	101	100	90	78	64	98	83	68	114	89	94	66	96	87	61	52	86	66	68	68	59	47	48	58	59	25	53	55	45	37	52	25	36	31	45	47	52	36	31	35	51	54	28	27	30	61	30	37	33	34	37	20	27	31	21	22	17	21	22	22	21	11	29	15	14	18	14	12	29	31	17	12	29	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	805894
LIB027.A0166	1862257	616	65	6	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	1	2	0	9	1	32475	32120	32522	31682	32197	30639	31235	30188	29879	30198	29168	28619	27351	26823	26058	26868	24831	24099	24463	23549	23180	21168	21101	21118	21056	21523	19578	19296	18908	19595	18740	18029	17116	16778	16882	16065	16302	16703	15242	14601	13872	14729	14225	13603	13865	13316	13375	12807	13836	12863	12988	12120	12307	11073	11746	10813	10928	10618	10703	10060	10299	10152	10001	10079	9430	9722	8953	9749	8901	9023	8854	7850	8225	7983	8148	8177	7619	7405	7650	7543	8776	8114	6581	6789	6677	6543	6393	6402	5951	6000	6085	6348	5776	5826	5282	5428	5146	5564	5090	5199	4474	5069	4692	4477	4376	4226	4266	4141	4073	4006	3991	3908	3756	3654	3475	3355	3550	3358	3425	3299	4427	3394	3323	2905	2906	2880	2990	2927	2866	2938	2835	2537	2651	2733	2560	2710	2021	2554	2211	2457	2195	1975	1867	2010	2051	1911	1973	2039	1949	1863	1829	1927	1750	1572	1592	1598	1612	1617	1571	1616	1466	1574	1459	1781	1431	1284	1349	1311	1314	1246	1212	1213	1162	1055	1164	1262	1004	1059	902	1019	992	907	950	955	924	1045	978	1010	1045	813	1016	823	844	707	755	731	803	759	683	805	820	671	687	693	682	536	657	621	616	602	654	626	511	604	538	626	553	548	699	605	456	472	466	474	479	497	432	556	487	514	507	461	494	430	420	393	436	361	380	397	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1366140
LIB027.A0167	1438138	136	46	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6614	6943	7694	7025	6500	6147	5942	5744	5501	5605	5179	5118	5254	5081	4663	4582	4447	4096	4025	3829	3893	3459	3560	3514	3527	3374	3143	2902	2902	3109	3080	2781	2673	2528	2486	2374	2275	2326	2165	2055	2102	2183	1938	1901	2120	1955	1872	1670	1644	1641	1652	1545	1437	1321	1423	1325	1345	1317	1212	1158	1185	1205	1130	1149	1047	984	998	994	937	939	824	944	856	827	863	775	803	824	729	687	932	734	669	638	562	611	584	548	599	473	559	495	545	506	511	469	503	421	392	406	349	430	454	360	402	380	333	324	327	325	349	288	344	275	312	290	293	296	259	304	366	237	257	219	246	254	241	223	203	192	179	233	156	210	165	169	157	156	150	168	201	167	149	136	121	136	143	149	148	115	124	126	122	103	117	108	123	128	103	130	98	81	104	69	89	104	59	116	73	89	95	71	69	73	56	93	69	78	84	60	56	73	49	59	63	59	58	56	36	77	69	47	56	43	71	50	44	21	37	22	43	49	30	35	34	47	53	35	33	44	34	43	26	36	29	37	38	23	30	32	37	45	36	28	38	19	32	37	20	18	25	22	17	12	16	24	18	24	18	32	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	919768
LIB027.A0168	2048334	805	72	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24602	25394	26019	25600	25175	24917	26670	25411	23618	23814	22738	21527	20797	20632	19929	19173	18716	17978	16913	16620	16038	14804	14068	13863	14152	12841	12941	11804	11679	11721	11387	10634	10979	10379	9629	9186	9000	8646	8369	8941	7942	7767	7225	7338	7000	7285	7055	6465	6687	6174	6104	6123	5900	5687	5190	5310	5173	5280	5072	4611	4700	4446	4671	4422	4131	4054	3968	3833	3629	3602	3808	3456	3317	3292	3393	3157	3017	2885	2903	2681	3397	2707	2716	2396	2590	2536	2303	2402	2339	2291	2319	2197	1869	1760	2044	1750	1970	1895	2060	1741	1768	1757	1713	1548	1587	1442	1478	1430	1351	1426	1590	1241	1199	1307	1309	1363	1248	1185	1112	1068	1470	1235	1143	1066	1005	940	839	912	1024	934	890	768	814	905	842	742	861	852	834	728	763	666	631	669	603	584	619	622	717	542	513	493	556	598	552	508	633	519	529	497	473	491	483	412	370	388	362	339	351	315	342	411	365	346	396	444	355	380	312	286	296	307	312	260	260	229	257	256	249	275	238	291	308	278	217	212	234	273	197	247	199	216	182	207	201	213	211	191	176	179	174	157	170	91	143	124	136	138	162	128	141	149	155	138	154	182	122	95	192	147	122	124	93	130	98	128	108	117	71	128	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1645810
