sample	raw_reads	final_reads	duplication_rate	passed_filter_reads	non_host_reads	low_quality_reads	too_many_N_reads	low_complexity_reads	too_short_reads	too_long_reads
EXB034.A5102	65374510	15965134	0.40	17870502	15347945	1713842	6886	841584	44941696	0
EXB034.A5201	158877898	33441582	0.45	48234140	32602946	3567328	18478	1007636	106050316	0
EXB034.A5301	181109702	59132914	0.33	69569738	56599741	3845412	12476	1874770	105807306	0
EXB034.A5401	113407670	35520278	0.34	41220606	34914889	2654532	11528	786136	68734868	0
EXB034.A5501	145515400	58479244	0.30	67809686	56161094	3352604	14808	827594	73510708	0
LIB027.A0164	115344236	18983234	0.45	22861532	18460617	2842876	12892	1491874	88135062	0
LIB027.A0165	58228444	8827018	0.45	9418848	8398971	1259316	6634	834538	46709108	0
LIB027.A0166	119054292	35868492	0.33	43151558	25890606	2790340	12822	885366	72214206	0
LIB027.A0167	62477052	5902314	0.40	6180564	5597823	1712710	7210	752954	53823614	0
LIB027.A0168	112586250	22924794	0.36	24801980	18679971	3388956	10788	1590016	82794510	0
LLP001.A0101	238859832	216931118	0.07	233880980	172948259	2096806	51106	190040	2640900	0
LLP002.A0101	232956456	209068590	0.08	228359458	94819144	2156674	52216	195648	2192460	0
LLP003.A0101	184723698	169624162	0.06	181206276	33628565	1747832	41434	152930	1575226	0
LLP004.A0101	128468690	64017652	0.29	79152822	61286301	3289418	13762	565038	45447650	0
